"Term","Frequency"
"leyenda",1
"nation-formation.",1
"nobel",15
"role,",10
"work;",7
"worldview",13
"beyond?",1
"broach",1
"genteel",1
"gentil",2
"gentility:",1
"legacy.",22
"measured.",2
"mytho",1
"partial.",1
"pratt,",1
"re-mad",1
"shopkeep",3
"unusu",17
"widow",4
"(british",1
"bilingu",33
"latin,",13
"manuals.",3
"multilingu",16
"others).",1
"phrasebook",1
"biraci",3
"congregations.",2
"drawn-",1
"dreams.",3
"proxi",4
"realiz",38
"self-determination.",1
"spectrum,",2
"(epigraph",1
"500-page",1
"anywher",11
"compact,",4
"continent",25
"disappear",16
"else.",2
"format.",18
"handi",1
"japanese,",6
"korean,",2
"linguistic,",17
"need,",2
"orthography,",5
"peninsular",1
"philological,",5
"readili",16
"tool.",12
"unfortunately,",11
"written)",1
"""reconciliation""",1
"archive?""",1
"coexist",12
"counter-arch",1
"dissent",13
"failure,",5
"filmic",8
"forgiveness,",10
"francophon",16
"furthermore,",23
"reconcil",17
"reconcili",12
"rwanda",1
"rwanda.",2
"tutsi",1
"void",5
"(1911-1979),",1
"border-grounds,",1
"influential.",3
"nationality,",4
"posthum",4
"sexuality,",15
"therefor",33
"thread",13
"verv",1
"writings.",17
"""augustin",1
"academics,""",1
"annotation,",7
"augustin",22
"commentary.",7
"dialogues""",1
"happi",18
"hippo",2
"life,""",3
"promis",73
"soliloquies"").",1
"theology.",3
"1753",1
"argument,",8
"britain.",10
"cautionari",1
"classicists,",2
"defense,",1
"intellectual,",24
"naval",12
"patriots.",1
"peloponnesian",7
"self-reflect",2
"smith",51
"thucydid",6
"(mindreading)",1
"animals,",10
"animals.",8
"bear",36
"cognit",45
"evolutionari",9
"humans.",2
"ingeni",5
"mental-st",3
"mindread",2
"mindreading.",2
"""heal",1
"(gypsies),",1
"1941-1944,",1
"220,000",2
"300,000",3
"anti-jewish",2
"anti-roma",1
"complexes.",2
"cover,",1
"deep-seat",1
"deport",7
"gypsies,",1
"historiography,",7
"occupation.",4
"perish",1
"process""",1
"roma",4
"romania",1
"romania,",2
"romanian",2
"romanians,",1
"south-western",1
"ukrain",6
"ukraine.",5
"ukrainian",12
"aristotl",47
"conflict-ridden",1
"disun",1
"five-chapt",2
"harmony.",1
"lacuna.",1
"monograph.",7
"obscur",24
"rather,",10
"reject",31
"uniti",13
"upset",2
"activity,",13
"addressed.",2
"counter-argu",1
"dickinson.",1
"eighteenth-century.",1
"intoler",3
"limited,",4
"messag",17
"moder",16
"moderate,",1
"parliamentari",6
"regulations.",1
"self-profess",1
"vicin",1
"""east""",1
"""experience-able""",1
"""religious.""",1
"""secular""",2
"""west,""",1
"juxtaposit",4
"london.",6
"nationalism.",5
"ocean",22
"river.",5
"routledg",2
"simplifi",7
"tigri",2
"versus",10
"captiv",22
"haitian",15
"instead,",19
"memoirs,",19
"mid-19th-centuries,",1
"plays,",29
"(c.",20
"1580-1725).",1
"balladri",1
"ballads--",1
"demon",3
"disord",8
"disorder,",2
"fascin",48
"femininity.",2
"heard",15
"magic",13
"song,",15
"sung",6
"sympathi",4
"topoi",1
"tunes--",1
"uncontrol",3
"witch",4
"witchcraft",3
"witchcraft,",2
"witchcraft.",1
"woodcut",4
"""black""",2
"""color-blind""",2
"""provincial""",2
"""white""",2
"american,",37
"binari",5
"consul",6
"counterpart",10
"culturally-bas",2
"later,",16
"rights.",46
"southern,",4
"(.d.",1
"(electron",1
"(parep)",1
"250-900)",1
"8-august",1
"boundaries.",14
"copan,",3
"dramatically,",1
"exactly,",5
"hard-copy)",1
"honduras.",1
"modern.",8
"outpost",5
"paraiso",1
"parep",1
"polity-building.",1
"rule?",1
"unclear.",1
"argument.",6
"autonomi",16
"countries.",17
"equality,",19
"ethno-raci",2
"imper",22
"post-cold",1
"systems,",42
"two-fold",3
"unrel",2
"arab-american",5
"echo",15
"homeland,",3
"homelands.",2
"multidimension",2
"subjectivity.",2
"trans-disciplinari",3
"underscor",18
"""blackmailing""",1
"""bond""",2
"""bond,""",1
"auditor",1
"authority.",8
"decision-making.",4
"defer",4
"deliberations.",1
"displac",25
"judgment,",6
"offers,",1
"politics.",44
"reput",25
"self-limit",1
"speaker",129
"strategy,",5
"worri",7
"""uncl",2
"apotheosi",1
"arts.",50
"attitude,",1
"cool",16
"existenti",10
"faces.",1
"individualism.",1
"instabl",5
"jazz,",89
"mask",8
"musician",38
"nazi",35
"noir,",1
"noir.",1
"password",2
"pose,",1
"rebellion.",2
"recuper",3
"sensibility.",3
"signal",17
"solo",3
"stoicism",1
"stylish",2
"tomming""",1
"trauma,",11
"wake",25
"collid",3
"discontent.",1
"france.",25
"imperialism.",7
"indochina",2
"interactions.",5
"martiniqu",1
"readership",8
"republic.",12
"seneg",5
"suffrag",19
"vocal",6
"vote",30
"architectural,",8
"arsenal",3
"beautifi",2
"decri",1
"degeneration,",1
"electrifi",2
"groom",1
"halls,",2
"jeremiad",1
"lamps,",1
"overlooks,",1
"pageants,",1
"regeneration.",1
"riverbanks,",1
"roadsides,",1
"extravag",2
"frugal",3
"frugality,",2
"happiness?",1
"reasonable?",1
"today?",6
"vice?",1
"virtu",38
"virtue?",1
"wisdom.",2
"1930s,",14
"1934,",2
"advances.",2
"circles,",1
"cocteau",2
"evidenc",5
"guitri",1
"jean",16
"marcel",11
"narrative;",2
"oversimplifi",1
"pagnol,",1
"playwright",13
"sacha",1
"screen",115
"screenplay",1
"theatre/cinema",1
"writer-director",3
"""layered""",1
"accret",3
"ambigu",15
"argue,",31
"belat",1
"empson",2
"examples--rereading,",1
"exclusion.",7
"experienti",54
"infus",24
"intertextu",17
"metareading--",1
"multiplicity,",1
"reading.",9
"repetition,",3
"rhythm",10
"structures:",1
"suggestive--",1
"uncertain",4
"uncertainti",16
"(1562-1598).",1
"(1570).",1
"(1571);",1
"(1575);",1
"belleforest",1
"ces",1
"chorograph",1
"cosmographi",1
"dernier",1
"engrav",7
"entier",1
"geographies,",1
"histoir",2
"interpretations,",5
"itineraries,",1
"perrissin",1
"popelinir",1
"quarant",1
"sieg",4
"sixteenth-centuri",8
"tableaux",1
"tortorel",1
"universell",1
"vray",1
"works:",5
"bodies.",4
"experience:",4
"health.",9
"layfolk",1
"martial",2
"meanings,",5
"mundan",5
"pesticid",3
"pests.",1
"quit",11
"residents,",5
"undesir",2
"(2nd",1
"antiquity,",13
"bce--1st",1
"ce).",3
"historical-philolog",1
"practitioners.",2
"scroll",20
"scrolls.",3
"sea",35
"theological,",4
"""educ",1
"""loss",1
"""pendennis""",1
"""tom",1
"(1848),",1
"(1848-50),",1
"(1853-57),",1
"(1861).",1
"-process",2
"bede",2
"bodleian",36
"cuthbert",1
"duke",34
"gain""",1
"green""",1
"hugh",15
"humphrey",1
"makepeac",1
"mid-centuri",16
"newman",3
"oxbridge.",1
"oxford""",1
"pre-professionalization,",1
"privilege""",1
"receipt",6
"rite",7
"thackeray",1
"verdant",1
"anni",4
"arts:",2
"biggest",5
"billi",5
"birdi",1
"broadway",13
"bye",2
"gracious",1
"hammerstein",1
"hit",10
"one--on",5
"possession.",1
"rodger",1
"rose;",1
"solicit",8
"sound.",10
"strous",4
"strouse.",1
"tape;",1
"theatr",50
"""tast",1
"(often",8
"1800s",17
"aesthetics.",8
"alloy",2
"caprici",1
"caricatur",6
"chant",1
"credit",16
"divas,",1
"divin",23
"fuse",8
"giovanni",6
"improvis",6
"improvvisatric",1
"improvvisatrice,",1
"inspiration.",3
"neoclass",3
"operat",6
"ornament""",1
"overshadow",9
"pacini",1
"romant",36
"saffo,",1
"sensation.",1
"sing",13
"singer",12
"sung)",1
"triumph",6
"unadorned,",1
"authority;",3
"banish",6
"countless",8
"hope,",4
"jurisdiction,",2
"testimony,",5
"time--",1
"us"":",1
"bead",2
"ceremoni",27
"economies,",7
"european-n",1
"europeans.",3
"evolution.",4
"huntington",18
"modifi",13
"northeastern",23
"overlooked.",8
"primary-sourc",10
"shell",2
"society--yet",1
"string",6
"used,",3
"wampum",5
"wampum,",2
"1200",6
"1980s-90s",1
"alon",12
"ce:",1
"endang",76
"ethnolinguist",4
"gaelic",3
"gaelic,",3
"gaelic-english",1
"gaelic-speak",1
"gaelic.",1
"garner",8
"gradual",13
"imped",5
"neoliber",11
"scotland",6
"scotland.",2
"self-identifi",1
"sociolinguist",7
"thatcher",1
"undergo",18
"""gorg",1
"(rgg),",1
"project""",10
"pueblo",57
"recorded.",1
"rgg",2
"rift",3
"taos,",2
"(earth,",1
"(god)",1
"acorn",1
"air,",3
"animals).",1
"end-directed",1
"focus.",12
"meteorologica",1
"misunderstood,",2
"mover",2
"oak",5
"teleology.",1
"tree.",1
"water)",1
"amelior",2
"democracy,",40
"habit",15
"reaffirm",5
"revised.",1
"schooling.",2
"citizenship,",30
"innovations.",5
"refocus",5
"""african-american",2
"community,""",1
"conclusions,",2
"guide,",10
"higher.",1
"passiv",16
"passive,",2
"resources;",10
"retent",8
"summari",13
"award-winners,",1
"instructor",22
"non-fict",9
"nonfict",8
"nonfiction,",8
"""write",2
"(http://www.la.edu/english/laliterature)",1
"ago",15
"chanc",11
"enjoyable,",1
"field,",40
"literature,""",1
"multi-ethn",7
"presentation,",7
"scale,",10
"suffering.",3
"two-semest",4
"(assignments,",1
"-depth,",5
"build.",2
"fewer",11
"firsthand",9
"indonesian",8
"learning.",25
"multival",5
"person,",7
"photographing,",1
"problem-solv",4
"sabbatical.",2
"visiting,",2
"walkthrough",1
"cinema",45
"hispan",42
"redesign",24
"""teach",7
"(washington,",1
"711-1453,",1
"aesthetics,",15
"byzantium,",1
"changing,",2
"complex,",15
"course:",2
"dc),",2
"diversity,",25
"dumbarton",6
"empire:",5
"fellowship""",1
"intermediate-level",2
"neighbors.",3
"polity:",1
"""allianc",2
"ask:",4
"berber",4
"civilizations""",1
"complex;",1
"iberia",6
"identity?",1
"inevit",10
"invigoration,",1
"madrid,",5
"maghreb:",1
"mediterranean?",1
"peoples.",15
"perspective"",",1
"south?",1
"symbiosi",2
"terrorist",4
"traditions?",1
"world:",8
"(asia-pacific,",1
"america)",7
"anew",5
"assignments,",11
"euro-mediterranean,",1
"actors,",15
"anchorag",10
"buildings.",11
"counter-modernist",1
"origins.",5
"(gender,",1
"(myths,",1
"creatures.",1
"deepest",4
"dispers",22
"films)",1
"forum",82
"ghost",8
"hopes,",3
"monsters,",1
"nationality),",1
"overcom",23
"religions,",4
"supernatur",8
"tenur",14
"workabl",1
"(defin",1
"1300",4
"ad).",1
"astronom",5
"coherence.",2
"interrelationship",5
"phenomena,",1
"preclud",5
"renaissance,",17
"restructur",8
"view.",9
"""u.s.",1
"1877"".",1
"midwest.",5
"wisconsin",33
"(ai).",1
"artifici",18
"biomed",9
"capston",14
"capstone,",1
"engineering,",16
"intellig",24
"njit",2
"pre-law.",1
"pre-med,",1
"robot",7
"robotics,",3
"technology;",5
"better-serv",1
"cultiv",45
"digest",4
"essentially,",3
"ethics;",2
"fruit",9
"philosophy--",1
"re-fram",5
"situations.",3
"students--",1
"theories.",2
"wrestl",9
"case.",4
"discover",17
"har",20
"mason",26
"users,",10
"""instruct",1
"""learn",1
"""virtual",4
"(curriculum",1
"animated,",2
"cotsen",2
"delight""",1
"flap",2
"fragile,",8
"instruction,",14
"interactive,",22
"manufacture.",1
"movabl",4
"originals.",1
"parts.",3
"planning/discoveri",1
"play""",3
"rare,",8
"services/)",1
"simul",22
"start-",42
"touch,""",1
"toy,",1
"annotate,",5
"egyptian",56
"essence,",2
"explore,",5
"highly-detailed,",1
"karnak",2
"real-tim",8
"testb",4
"three-dimension",21
"customizable,",1
"erasur",2
"metadata",85
"mukurtu",11
"networking,",5
"platform.",13
"sharing,",6
"similarly,",10
"source,",6
"standards-based,",2
"technologies,",30
"turnkey",1
"user-gener",4
"web-publish",3
"(unm)",1
"2009.)",1
"archaeologist",34
"capabilities.",5
"eth",1
"fbk",1
"highly-accurate,",1
"hondura",4
"honduran",4
"trento,",1
"unesco",12
"zurich,",2
"artfl",2
"compilation.",1
"diachronic,",1
"dvlf",2
"experimental,",2
"forgo",3
"lexicograph",6
"lexicography.",2
"realization;",1
"static",7
"top-",10
"""slave",2
"algorithm",23
"anthropologists,",11
"birth,",1
"certificates.",1
"database,",38
"dozen",33
"export",9
"lists.""",1
"mysql,",1
"pilot",103
"post-bellum",2
"spreadsheet",1
"tallies,",1
"taxes,",2
"wills,",8
"1.)",4
"2.)",3
"3.)",3
"clearinghous",5
"editors,",12
"fast-pac",1
"increasingly,",1
"medium.",5
"peer",37
"review,",11
"well-defin",3
"artefact",4
"autom",27
"automat",25
"capabl",36
"codifi",3
"dance.",6
"data.",39
"engineers,",11
"mathematician",2
"movement-bas",1
"movement-deriv",1
"phrases.",1
"sophisticated,",5
"android",6
"app",14
"architects,",6
"camera",20
"classroom.",19
"iphon",3
"overlaid",1
"overlay",4
"phillyhistory.org.",1
"phone",15
"screen.",2
"stores,",1
"target",99
"tourist",21
"graph",3
"points,",5
"typic",36
"visualization.",5
"curriculum-develop",1
"implementation,",9
"learner-author",1
"learners,",7
"multimod",6
"telecollabor",1
"video/audio/textu",1
"""augustus",1
"(one",10
"color)",1
"cost--",1
"pigment",9
"polychromi",2
"porta"")",1
"prima",2
"tools--",1
"(avl)-",1
"1)develop",1
"2)enhanc",1
"2006,",16
"3)develop",1
"application-",1
"audio/video",6
"contents.",3
"desktop-",1
"forward-us",1
"interface.",12
"poets,",13
"proprietari",2
"recordings-thousand",1
"scholars;",14
"user-com",1
"web-access",2
"(oral",2
"computer-assist",3
"devices.",9
"games,",7
"intelligence.",3
"literature)",4
"memorials,",3
"motion-sensit",1
"non-verb",2
"oratur",1
"perspective,",15
"theme,",18
"tone,",1
"touch-screen",1
"(bps)",1
"beta-test",2
"bps",3
"bps,",1
"corpora.",6
"corpus",129
"extract",35
"generaliz",1
"hypothet",2
"integrity.",4
"modelling,",1
"paramet",10
"probabilist",3
"prosopograph",2
"prosopographers.",1
"prosopographi",4
"scenario",6
"tei-encod",7
"workspac",9
"(1871)",1
"1871,",1
"abolitionists.",1
"collaboration.",10
"david",83
"exploration.",6
"fade",7
"illeg",10
"late-victorian",2
"livingston",12
"livingstone.",1
"non-specialist",8
"novemb",29
"nyangw",1
"palimpsest",4
"ralli",1
"scholar-scientist",1
"stanley",10
"templat",14
"""pictur",2
"(npc),",1
"ackland",2
"carolina",101
"carolina""",2
"carolina,",15
"carolina.",14
"carolina:",2
"chapel",14
"coastal.",1
"feature:",3
"hill.",3
"keynot",10
"mountains,",3
"npc",1
"paideia",1
"piedmont",6
"portfolio",11
"staff;",5
"studies;",8
"""""democrat",1
"art""",2
"recipi",12
"vistas:",1
"created.",11
"curriculum.",33
"effectively,",1
"environment;",9
"fully,",1
"grasp",18
"schools;",3
"""interpret",1
"20,",7
"august",49
"capaci",4
"conference,",17
"landscape""",3
"portfolio.",2
"pristin",2
"scenery.",1
"secondary-level",1
"theme.",8
"wilder",20
"(amnh),",1
"(mma),",1
"(n_yhs),",1
"(nycdoe)",1
"1,300",9
"1.1",1
"2010_spring",1
"80,000",9
"all_day",1
"america_pictur",2
"new-york",22
"ny.",8
"resources_pictur",1
"york:",1
"characteristics;",1
"engaging,",10
"leadership.",3
"nineteenth-",5
"sets,",4
"skills;",3
"traits.",2
"(artwork,",1
"america:",16
"conven",64
"cross-curricular",1
"objects)",2
"two-day,",1
"(clcs),",1
"11,",8
"charter",7
"conservatori",2
"curricula,",9
"elementari",5
"sessions,",10
"significantly.",1
"wheelock",1
"wing,",4
"curricula.",17
"pre-k-12",1
"wachovia",1
"curriculum,",31
"dissent,",4
"drumbeats:",1
"follow-",22
"masterpiec",9
"partnership,",6
"professional-develop",1
"seattle-area",1
"jacob",17
"lawrenc",23
"$161,175",1
"(mei)",1
"detmold,",1
"mei",2
"mei,",1
"mei-encod",1
"musicologists.",1
"notation.",4
"paderborn",1
"uva",6
"(ymdi)",1
"berlin",22
"berlin.",2
"conjoin",2
"decade,",13
"freie",1
"sana',",1
"staatsbibliothek",1
"universität",1
"yemen",2
"yemen.",3
"yemeni",3
"ymdi",3
"(dai)",1
"cidoc-crm",1
"commentaries,",6
"compliant",2
"encyclopedias.",1
"lexica,",1
"mods/frbr",1
"perseus--",1
"studies--arachn",1
"third-parti",2
"xml",17
"""german",1
"1930-1945""",1
"auction",8
"austria",4
"indispens",16
"sale",11
"switzerland,",1
"culture-bear",5
"revise,",4
"sanskrit",23
"synthesize,",1
"4000",4
"banarsidass",1
"date,",30
"delhi.",1
"dense,",1
"epic",30
"flagship",14
"innumer",5
"messrs.",1
"motil",1
"poem,",3
"ramayana",2
"reprint",7
"retel",3
"uttarakanda,",1
"valmiki",1
"verses)",1
"written.",9
"bottleneck,",1
"cloud",4
"desktop",2
"geometr",1
"laser",1
"overwhelm",16
"re-assembl",1
"statuary,",1
"supercomput",4
"1836",6
"1922.",6
"awarded.",1
"divisions.",4
"microfilm.",2
"rfp",4
"tennesse",19
"vendor",13
"1836-1922.",1
"cswr",1
"microfilm,",12
"(http://chroniclingamerica.loc.gov/newspapers/).",1
"(vtdnp)",1
"1922",4
"90,000",4
"cross-sect",2
"1844",1
"capsule.",1
"deposit",23
"evaluated,",2
"goods,",4
"lifestyl",6
"lifestyle.",1
"mansion",17
"montpeli",13
"plowed,",1
"slaves,",12
"slaves.",6
"yard",9
"b.c.",4
"beneath",5
"crete.",3
"millennium",19
"minoan",2
"mochlo",1
"prepalati",4
"best-preserv",3
"edfu",1
"edfu,",1
"egypt,",7
"egypt.",10
"hinterland.",1
"nome",1
"stratigraphi",1
"(http://www.wwp.brown.edu).",1
"articles;",1
"(chronology,",1
"2004-2008,",2
"accommodated,",3
"bioanthropology,",1
"ceramics)",1
"colonialism,",17
"colonizers.",3
"resisted,",3
"(berlin).",1
"(duke)",1
"1-3,",1
"1900-1950:",1
"1910,",2
"briefly,",2
"carolina-chapel",1
"hill",27
"international:",1
"musicology,",7
"outlook",3
"panels.",3
"pitch",5
"revisionist",6
"rupprecht",1
"scheidel",1
"three-day",13
"tonal",5
"tonality,",2
"ullrich",1
"unc,",1
"woerner.",1
"60-year",1
"camp,",6
"develop?",1
"investigated:",1
"piedmont?",1
"quarter.",3
"wayl",1
"wingos,",2
"arguabl",19
"collection--wil",1
"establish,",2
"home?",1
"land?",2
"neglig",3
"prehistory,",3
"project--",4
"selway-bitterroot",1
"selway-bitterroot,",1
"web-exhibit,",1
"wildlands,",1
"wildlands.",1
"age-iron",1
"archaeology:",2
"bronz",19
"continent--",1
"disintegr",6
"greec",15
"investigations,",7
"mainland.",1
"mitrou",2
"mycenaean",4
"palati",1
"periods.",26
"society--",5
"state-level",4
"transition.",6
"village-level",1
"co-author",5
"components:",12
"photographs.",21
"sicily,",1
"team.",11
"widely-dispers",1
"ago.",14
"altai",1
"biluut",3
"burials,",3
"crossroad",17
"deer",1
"dens",9
"established.",3
"excavations.",6
"flank",2
"game,",8
"glacial",1
"glistening,",1
"inner",13
"kazakhstan,",1
"khirigsuur",1
"khoton",1
"mongolia",4
"mountain",49
"pazyryk",1
"petroglyph",3
"pre-genghi",1
"radiocarbon",3
"retreat",15
"rti",4
"scythian",1
"stones,",2
"sweet-wat",1
"contraband",3
"destin",14
"fugit",21
"hub",29
"locus",12
"nebraska-lincoln",3
"post-emancip",4
"seat",11
"stimul",42
"underestimated,",3
"understudied.",3
"watch",9
"descendants.",3
"farmer",10
"group.",12
"land.",7
"monographs.",2
"neglected.",2
"odds,",1
"pair",33
"quarter",21
"sharecropp",2
"south.",37
"2013.",36
"ceibal,",1
"guatemala,",4
"hierarchy.",1
"lowland",4
"preclass",5
"(2002-2009),",1
"(7/2010-6/2013)",1
"1800,",5
"1860,",5
"3-year,",1
"archaeology-cent",1
"archaeology.",10
"dismal",3
"escape",1
"impacts.",2
"including,",5
"instig",5
"interior",52
"interior.",2
"maroons,",1
"slavery,",61
"swamp",6
"swamp.",1
"virginia.",21
"body;",1
"broken",8
"caligula",1
"caligula.",1
"colors,",1
"conference;",2
"hands,",1
"head,",2
"hitherto",17
"internet.",12
"missing;",1
"museum:",1
"seen.",4
"statu",11
"statue;",1
"throw",6
"vmfa",5
"bangladesh",1
"bengal",1
"geo-referenc",1
"keyterm",2
"one-year",26
"web.",15
"agendas,",4
"conference.",12
"evolve.",1
"objectives:",8
"time-keep",7
"timekeep",2
"330bc.",1
"archaeologists,",8
"armenia,",1
"armenian",2
"empires,",9
"hegemon",4
"inhabit",30
"persia,",4
"pre-conquest",1
"routin",9
"tsaghkahovit.",1
".d.1200.",1
"2200",2
"communications.",2
"concepts,",12
"diagramm",1
"math",3
"mathemat",20
"supposed.",2
"tables,",4
"arc.",2
"behav",4
"biology,",13
"collaboration,",12
"construct,",1
"evaluate,",2
"ill.",2
"mechanisms.",5
"mechanist",3
"molecular",5
"neuroscience,",4
"science.",26
"solv",21
"1943.",3
"britain",60
"ca.",28
"carpent",2
"edition,",30
"folklif",9
"mississippi",101
"sub-genre,",1
"symbiot",2
"ten-volum",3
"us-uk",1
"(octob",6
"(spenc",1
"(wright)",1
"1571).",1
"battl",51
"bilingual,",2
"epics.",1
"epoch",9
"latin-english",1
"lemons)",1
"lepanto",1
"links.",3
"none",22
"spain,",24
"tatti",1
"vergilian",1
"(1813-1901).",2
"casa",9
"complete.",5
"editorship",3
"giusepp",5
"gossett",2
"heterogeneity.",3
"lesser-known",9
"milan,",4
"ricordi",3
"versions,",5
"(1752-1827),",1
"1786-1811,",1
"1813-1822,",1
"appeals.",1
"blackston",4
"circuit",11
"commentaries.",2
"judg",14
"mary.",1
"tucker",6
"tucker-coleman",1
"two-volum",6
"(januari",10
"(novemb",1
"(septemb",5
"(telegrams,",2
"1945-januari",1
"1947",7
"1947),",1
"1947-januari",1
"1949),",2
"1949-octob",1
"1949-septemb",1
"1950)",1
"1950-septemb",2
"1951).",1
"1959),",1
"1959.",4
"congression",6
"envoy",3
"memorandums,",2
"secretari",12
"sixth",24
"speeches,",14
"testimonies)",2
"(1737-1832),",2
"-iii",4
"1782-1832,",3
"andrew",31
"application,",12
"carrol",15
"carrollton",5
"charley.",3
"dear",6
"declar",28
"die.",5
"ingrain",4
"intimacy,",6
"iv-vi,",2
"jackson--togeth",3
"papa,",3
"pre-revolutionari",6
"records--",3
"republic:",6
"signer",8
"1730-1950",1
"balkans,",2
"condemn",6
"culture:",8
"field.",32
"indeed,",24
"indefinit",1
"jewri",7
"judeo-spanish",2
"ladino--",1
"language--",1
"ottoman",67
"palestine,",6
"pedagog",62
"popular,",8
"post-ottoman",1
"reader,",7
"scholarly,",9
"sephard",8
"sephardim",1
"unless",3
"(2010-2013)",1
"(summa),",2
"53-55.",1
"advance.",3
"belgium.",4
"developing.",3
"eighteen",6
"etzkorn",2
"ghent",8
"leuven",6
"multin",6
"ordinaria",3
"quaestion",2
"scheme",14
"series:",4
